
Model:xception BatchSize:16 lr:0.000200
AUC:0.978605 TPR_2:0.820692 TPR_3:0.630617 TPR_4:0.437659 validset
AUC:0.948248 TPR_2:0.208556 TPR_3:0.002556 TPR_4:0.000000 stylegan_celeba
AUC:0.831178 TPR_2:0.003223 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.841460 TPR_2:0.008443 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.957111 TPR_2:0.521654 TPR_3:0.157486 TPR_4:0.027244 stargan
AUC:0.946153 TPR_2:0.150725 TPR_3:0.000334 TPR_4:0.000000 pggan_v1
AUC:0.941779 TPR_2:0.120045 TPR_3:0.000557 TPR_4:0.000000 pggan_v2
AUC:0.983242 TPR_2:0.832316 TPR_3:0.605306 TPR_4:0.354148 Deepfakes
AUC:0.988145 TPR_2:0.843390 TPR_3:0.618308 TPR_4:0.372622 FaceSwap
AUC:0.985058 TPR_2:0.866791 TPR_3:0.723248 TPR_4:0.552052 Face2Face
AUC:0.935819 TPR_2:0.395016 TPR_3:0.234249 TPR_4:0.145119 Test
epoch:003 batch:033000 loss:0.08836 avgloss:0.29897
AUC:0.980732 TPR_2:0.829046 TPR_3:0.632166 TPR_4:0.406256 validset
AUC:0.942005 TPR_2:0.081556 TPR_3:0.000222 TPR_4:0.000000 stylegan_celeba
AUC:0.851075 TPR_2:0.000445 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.850221 TPR_2:0.000889 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.985019 TPR_2:0.791311 TPR_3:0.543604 TPR_4:0.311003 stargan
AUC:0.948426 TPR_2:0.062876 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.939879 TPR_2:0.061915 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.990989 TPR_2:0.890525 TPR_3:0.715826 TPR_4:0.524538 Deepfakes
AUC:0.980254 TPR_2:0.799086 TPR_3:0.610732 TPR_4:0.441003 FaceSwap
AUC:0.986708 TPR_2:0.873919 TPR_3:0.698412 TPR_4:0.502293 Face2Face
AUC:0.941619 TPR_2:0.395836 TPR_3:0.285422 TPR_4:0.197649 Test
epoch:003 batch:036000 loss:0.11430 avgloss:0.28544
AUC:0.982411 TPR_2:0.858434 TPR_3:0.694140 TPR_4:0.518988 validset
AUC:0.906153 TPR_2:0.011556 TPR_3:0.000222 TPR_4:0.000000 stylegan_celeba
AUC:0.787897 TPR_2:0.000333 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.790539 TPR_2:0.000889 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.981167 TPR_2:0.665860 TPR_3:0.222471 TPR_4:0.034820 stargan
AUC:0.914956 TPR_2:0.008250 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.898996 TPR_2:0.003452 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.991933 TPR_2:0.883407 TPR_3:0.690413 TPR_4:0.487772 Deepfakes
AUC:0.985802 TPR_2:0.861007 TPR_3:0.712008 TPR_4:0.546256 FaceSwap
AUC:0.989495 TPR_2:0.929818 TPR_3:0.810181 TPR_4:0.652267 Face2Face
AUC:0.916326 TPR_2:0.373841 TPR_3:0.270588 TPR_4:0.191235 Test
epoch:003 batch:039000 loss:0.15644 avgloss:0.27370
AUC:0.984663 TPR_2:0.857322 TPR_3:0.710888 TPR_4:0.487464 validset
AUC:0.965041 TPR_2:0.294222 TPR_3:0.005222 TPR_4:0.000222 stylegan_celeba
AUC:0.871030 TPR_2:0.006891 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.881519 TPR_2:0.015108 TPR_3:0.000667 TPR_4:0.000000 faceapp
AUC:0.983599 TPR_2:0.776388 TPR_3:0.465021 TPR_4:0.205996 stargan
AUC:0.966926 TPR_2:0.270792 TPR_3:0.001561 TPR_4:0.000111 pggan_v1
AUC:0.958069 TPR_2:0.173497 TPR_3:0.002450 TPR_4:0.000111 pggan_v2
AUC:0.990345 TPR_2:0.881936 TPR_3:0.723664 TPR_4:0.536391 Deepfakes
AUC:0.991130 TPR_2:0.887513 TPR_3:0.715895 TPR_4:0.516240 FaceSwap
AUC:0.991805 TPR_2:0.948180 TPR_3:0.840693 TPR_4:0.672937 Face2Face
AUC:0.955496 TPR_2:0.472725 TPR_3:0.306143 TPR_4:0.214668 Test
epoch:004 batch:042000 loss:0.06719 avgloss:0.26327
AUC:0.985902 TPR_2:0.876070 TPR_3:0.707859 TPR_4:0.522696 validset
AUC:0.983403 TPR_2:0.628889 TPR_3:0.099333 TPR_4:0.000778 stylegan_celeba
AUC:0.913168 TPR_2:0.040791 TPR_3:0.000667 TPR_4:0.000111 stylegan_ffhq
AUC:0.916641 TPR_2:0.060431 TPR_3:0.001111 TPR_4:0.000000 faceapp
AUC:0.988478 TPR_2:0.871674 TPR_3:0.748460 TPR_4:0.564642 stargan
AUC:0.980591 TPR_2:0.548161 TPR_3:0.058194 TPR_4:0.000111 pggan_v1
AUC:0.977509 TPR_2:0.483519 TPR_3:0.035189 TPR_4:0.000223 pggan_v2
AUC:0.988438 TPR_2:0.870377 TPR_3:0.709914 TPR_4:0.444858 Deepfakes
AUC:0.991552 TPR_2:0.907254 TPR_3:0.774397 TPR_4:0.547120 FaceSwap
AUC:0.990971 TPR_2:0.922284 TPR_3:0.787043 TPR_4:0.535360 Face2Face
AUC:0.970084 TPR_2:0.592598 TPR_3:0.357145 TPR_4:0.232578 Test
epoch:004 batch:045000 loss:0.02763 avgloss:0.25378
AUC:0.982695 TPR_2:0.883861 TPR_3:0.754440 TPR_4:0.590195 validset
AUC:0.956015 TPR_2:0.302222 TPR_3:0.013000 TPR_4:0.000000 stylegan_celeba
AUC:0.832851 TPR_2:0.007225 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.838451 TPR_2:0.010664 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.994805 TPR_2:0.911788 TPR_3:0.692466 TPR_4:0.418519 stargan
AUC:0.952071 TPR_2:0.247826 TPR_3:0.008250 TPR_4:0.000000 pggan_v1
AUC:0.944037 TPR_2:0.188976 TPR_3:0.004454 TPR_4:0.000000 pggan_v2
AUC:0.994230 TPR_2:0.921688 TPR_3:0.790123 TPR_4:0.623513 Deepfakes
AUC:0.993739 TPR_2:0.922190 TPR_3:0.777222 TPR_4:0.589264 FaceSwap
AUC:0.990883 TPR_2:0.927539 TPR_3:0.795216 TPR_4:0.623730 Face2Face
AUC:0.944120 TPR_2:0.493346 TPR_3:0.342340 TPR_4:0.250558 Test
epoch:004 batch:048000 loss:0.03006 avgloss:0.24513
AUC:0.985996 TPR_2:0.889963 TPR_3:0.764149 TPR_4:0.625661 validset
AUC:0.979429 TPR_2:0.570778 TPR_3:0.145111 TPR_4:0.009222 stylegan_celeba
AUC:0.880961 TPR_2:0.027676 TPR_3:0.000778 TPR_4:0.000000 stylegan_ffhq
AUC:0.885298 TPR_2:0.038436 TPR_3:0.000889 TPR_4:0.000000 faceapp
AUC:0.996527 TPR_2:0.947292 TPR_3:0.812440 TPR_4:0.576005 stargan
AUC:0.976270 TPR_2:0.482386 TPR_3:0.078707 TPR_4:0.001561 pggan_v1
AUC:0.971831 TPR_2:0.417929 TPR_3:0.046102 TPR_4:0.000891 pggan_v2
AUC:0.993753 TPR_2:0.927923 TPR_3:0.809786 TPR_4:0.603527 Deepfakes
AUC:0.991048 TPR_2:0.879613 TPR_3:0.689208 TPR_4:0.447698 FaceSwap
AUC:0.990750 TPR_2:0.930369 TPR_3:0.841926 TPR_4:0.701968 Face2Face
AUC:0.962874 TPR_2:0.580267 TPR_3:0.380550 TPR_4:0.260097 Test
epoch:004 batch:051000 loss:0.03565 avgloss:0.23726
AUC:0.986842 TPR_2:0.899103 TPR_3:0.768164 TPR_4:0.601545 validset
AUC:0.972803 TPR_2:0.406889 TPR_3:0.026000 TPR_4:0.001000 stylegan_celeba
AUC:0.889386 TPR_2:0.008892 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.889566 TPR_2:0.014441 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.992768 TPR_2:0.896956 TPR_3:0.701684 TPR_4:0.494318 stargan
AUC:0.968921 TPR_2:0.329097 TPR_3:0.011148 TPR_4:0.000000 pggan_v1
AUC:0.961590 TPR_2:0.260468 TPR_3:0.011136 TPR_4:0.000445 pggan_v2
AUC:0.995310 TPR_2:0.940894 TPR_3:0.813654 TPR_4:0.649249 Deepfakes
AUC:0.992299 TPR_2:0.903115 TPR_3:0.734484 TPR_4:0.549567 FaceSwap
AUC:0.991656 TPR_2:0.948107 TPR_3:0.860027 TPR_4:0.727124 Face2Face
AUC:0.961589 TPR_2:0.523207 TPR_3:0.350941 TPR_4:0.269078 Test
epoch:005 batch:054000 loss:0.06162 avgloss:0.23012
AUC:0.984758 TPR_2:0.886249 TPR_3:0.755402 TPR_4:0.585773 validset
AUC:0.972793 TPR_2:0.370444 TPR_3:0.012111 TPR_4:0.000000 stylegan_celeba
AUC:0.887587 TPR_2:0.006224 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.887649 TPR_2:0.007332 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.987830 TPR_2:0.817734 TPR_3:0.555971 TPR_4:0.251540 stargan
AUC:0.971932 TPR_2:0.340022 TPR_3:0.005909 TPR_4:0.000000 pggan_v1
AUC:0.964534 TPR_2:0.247105 TPR_3:0.003341 TPR_4:0.000000 pggan_v2
AUC:0.991618 TPR_2:0.901334 TPR_3:0.750548 TPR_4:0.515082 Deepfakes
AUC:0.994319 TPR_2:0.933796 TPR_3:0.829263 TPR_4:0.630023 FaceSwap
AUC:0.989446 TPR_2:0.917175 TPR_3:0.800993 TPR_4:0.576250 Face2Face
AUC:0.960857 TPR_2:0.504574 TPR_3:0.328694 TPR_4:0.219210 Test
epoch:005 batch:057000 loss:0.11422 avgloss:0.22367
AUC:0.984124 TPR_2:0.891972 TPR_3:0.779911 TPR_4:0.678772 validset
AUC:0.969645 TPR_2:0.459111 TPR_3:0.064222 TPR_4:0.001889 stylegan_celeba
AUC:0.862738 TPR_2:0.011671 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.865612 TPR_2:0.010664 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.994866 TPR_2:0.919135 TPR_3:0.777484 TPR_4:0.608087 stargan
AUC:0.966614 TPR_2:0.383612 TPR_3:0.040134 TPR_4:0.000892 pggan_v1
AUC:0.957261 TPR_2:0.292984 TPR_3:0.018486 TPR_4:0.000223 pggan_v2
AUC:0.994926 TPR_2:0.942483 TPR_3:0.848655 TPR_4:0.734371 Deepfakes
