
Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.58690 avgloss:0.59310
AUC:0.933650 TPR_2:0.102453 TPR_3:0.001115 TPR_4:0.000000 pggan_v1
AUC:0.928099 TPR_2:0.083296 TPR_3:0.002004 TPR_4:0.000000 pggan_v2
AUC:0.983537 TPR_2:0.815639 TPR_3:0.563775 TPR_4:0.349001 Deepfakes
AUC:0.979394 TPR_2:0.762466 TPR_3:0.520847 TPR_4:0.305015 FaceSwap
AUC:0.985410 TPR_2:0.869796 TPR_3:0.709545 TPR_4:0.518435 Face2Face
AUC:0.925875 TPR_2:0.356584 TPR_3:0.206869 TPR_4:0.130822 Test
epoch:002 batch:027000 loss:0.02227 avgloss:0.26898
AUC:0.971111 TPR_2:0.773430 TPR_3:0.577181 TPR_4:0.362655 validset
AUC:0.962732 TPR_2:0.184889 TPR_3:0.005444 TPR_4:0.000222 stylegan_celeba
AUC:0.867559 TPR_2:0.003779 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.880796 TPR_2:0.005332 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.967279 TPR_2:0.626706 TPR_3:0.247022 TPR_4:0.042304 stargan
AUC:0.963376 TPR_2:0.134448 TPR_3:0.001115 TPR_4:0.000111 pggan_v1
AUC:0.956626 TPR_2:0.103007 TPR_3:0.001893 TPR_4:0.000000 pggan_v2
AUC:0.970419 TPR_2:0.749489 TPR_3:0.571952 TPR_4:0.382708 Deepfakes
AUC:0.989295 TPR_2:0.874701 TPR_3:0.717479 TPR_4:0.504850 FaceSwap
AUC:0.983339 TPR_2:0.840460 TPR_3:0.692591 TPR_4:0.497678 Face2Face
AUC:0.949047 TPR_2:0.391423 TPR_3:0.248611 TPR_4:0.158653 Test
epoch:002 batch:030000 loss:0.06326 avgloss:0.25396
AUC:0.980828 TPR_2:0.847109 TPR_3:0.678247 TPR_4:0.505245 validset
AUC:0.902394 TPR_2:0.007778 TPR_3:0.000222 TPR_4:0.000111 stylegan_celeba
AUC:0.753933 TPR_2:0.000222 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.789853 TPR_2:0.001333 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.976696 TPR_2:0.738101 TPR_3:0.435860 TPR_4:0.200977 stargan
AUC:0.908139 TPR_2:0.005240 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.897050 TPR_2:0.007238 TPR_3:0.000334 TPR_4:0.000111 pggan_v2
AUC:0.984163 TPR_2:0.851611 TPR_3:0.668427 TPR_4:0.485301 Deepfakes
AUC:0.989293 TPR_2:0.874557 TPR_3:0.724874 TPR_4:0.568318 FaceSwap
AUC:0.984676 TPR_2:0.876473 TPR_3:0.711389 TPR_4:0.543387 Face2Face
AUC:0.909577 TPR_2:0.373617 TPR_3:0.282345 TPR_4:0.199801 Test
epoch:003 batch:033000 loss:0.30651 avgloss:0.24116
AUC:0.975174 TPR_2:0.817114 TPR_3:0.655675 TPR_4:0.494274 validset
AUC:0.903223 TPR_2:0.096778 TPR_3:0.005444 TPR_4:0.000222 stylegan_celeba
AUC:0.725778 TPR_2:0.002668 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.735871 TPR_2:0.003333 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.949342 TPR_2:0.438689 TPR_3:0.127915 TPR_4:0.018528 stargan
AUC:0.894672 TPR_2:0.062988 TPR_3:0.001226 TPR_4:0.000111 pggan_v1
AUC:0.884630 TPR_2:0.059800 TPR_3:0.004454 TPR_4:0.000445 pggan_v2
AUC:0.984901 TPR_2:0.835949 TPR_3:0.669927 TPR_4:0.478080 Deepfakes
AUC:0.985774 TPR_2:0.836228 TPR_3:0.654514 TPR_4:0.441813 FaceSwap
AUC:0.986643 TPR_2:0.908872 TPR_3:0.804985 TPR_4:0.643848 Face2Face
AUC:0.894537 TPR_2:0.360589 TPR_3:0.252064 TPR_4:0.175894 Test
epoch:003 batch:036000 loss:0.02364 avgloss:0.23003
AUC:0.984317 TPR_2:0.856488 TPR_3:0.691364 TPR_4:0.488483 validset
AUC:0.951405 TPR_2:0.182889 TPR_3:0.016222 TPR_4:0.001111 stylegan_celeba
AUC:0.862185 TPR_2:0.005335 TPR_3:0.000333 TPR_4:0.000000 stylegan_ffhq
AUC:0.881585 TPR_2:0.007110 TPR_3:0.000667 TPR_4:0.000000 faceapp
AUC:0.982778 TPR_2:0.699722 TPR_3:0.248893 TPR_4:0.046091 stargan
AUC:0.954174 TPR_2:0.167781 TPR_3:0.006800 TPR_4:0.000223 pggan_v1
AUC:0.945175 TPR_2:0.121604 TPR_3:0.008352 TPR_4:0.000111 pggan_v2
AUC:0.988173 TPR_2:0.878083 TPR_3:0.722944 TPR_4:0.543759 Deepfakes
AUC:0.988604 TPR_2:0.857552 TPR_3:0.691494 TPR_4:0.517770 FaceSwap
AUC:0.991229 TPR_2:0.909757 TPR_3:0.789018 TPR_4:0.637389 Face2Face
AUC:0.949479 TPR_2:0.425537 TPR_3:0.276080 TPR_4:0.194051 Test
epoch:003 batch:039000 loss:0.14742 avgloss:0.22015
AUC:0.986185 TPR_2:0.858012 TPR_3:0.722844 TPR_4:0.584414 validset
AUC:0.953679 TPR_2:0.154778 TPR_3:0.008778 TPR_4:0.000444 stylegan_celeba
AUC:0.861688 TPR_2:0.004446 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.874103 TPR_2:0.006665 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.976319 TPR_2:0.649979 TPR_3:0.238808 TPR_4:0.034181 stargan
AUC:0.952760 TPR_2:0.117837 TPR_3:0.001561 TPR_4:0.000111 pggan_v1
AUC:0.945745 TPR_2:0.098552 TPR_3:0.004566 TPR_4:0.000000 pggan_v2
AUC:0.985987 TPR_2:0.855082 TPR_3:0.684604 TPR_4:0.498478 Deepfakes
AUC:0.986646 TPR_2:0.843821 TPR_3:0.665095 TPR_4:0.476562 FaceSwap
AUC:0.991512 TPR_2:0.915317 TPR_3:0.810486 TPR_4:0.664794 Face2Face
AUC:0.947604 TPR_2:0.405164 TPR_3:0.268223 TPR_4:0.186063 Test
epoch:004 batch:042000 loss:0.56172 avgloss:0.21151
AUC:0.986722 TPR_2:0.859007 TPR_3:0.714713 TPR_4:0.577953 validset
AUC:0.970499 TPR_2:0.339778 TPR_3:0.027889 TPR_4:0.002111 stylegan_celeba
AUC:0.883138 TPR_2:0.014449 TPR_3:0.000667 TPR_4:0.000000 stylegan_ffhq
AUC:0.892816 TPR_2:0.021551 TPR_3:0.002222 TPR_4:0.000000 faceapp
AUC:0.988169 TPR_2:0.805869 TPR_3:0.321179 TPR_4:0.038516 stargan
AUC:0.967834 TPR_2:0.298774 TPR_3:0.013378 TPR_4:0.000780 pggan_v1
AUC:0.960752 TPR_2:0.232405 TPR_3:0.015479 TPR_4:0.001559 pggan_v2
AUC:0.983684 TPR_2:0.846890 TPR_3:0.678824 TPR_4:0.483698 Deepfakes
AUC:0.988796 TPR_2:0.878120 TPR_3:0.713970 TPR_4:0.533012 FaceSwap
AUC:0.991289 TPR_2:0.933635 TPR_3:0.820371 TPR_4:0.675115 Face2Face
AUC:0.958553 TPR_2:0.485719 TPR_3:0.288220 TPR_4:0.192755 Test
epoch:004 batch:045000 loss:0.01932 avgloss:0.20373
AUC:0.988686 TPR_2:0.877706 TPR_3:0.754047 TPR_4:0.582079 validset
AUC:0.971296 TPR_2:0.320778 TPR_3:0.047000 TPR_4:0.005222 stylegan_celeba
AUC:0.890531 TPR_2:0.018339 TPR_3:0.001111 TPR_4:0.000222 stylegan_ffhq
AUC:0.907827 TPR_2:0.029327 TPR_3:0.001777 TPR_4:0.000000 faceapp
AUC:0.988920 TPR_2:0.829827 TPR_3:0.506549 TPR_4:0.178981 stargan
AUC:0.971499 TPR_2:0.301784 TPR_3:0.033779 TPR_4:0.003567 pggan_v1
AUC:0.966776 TPR_2:0.242873 TPR_3:0.028508 TPR_4:0.003229 pggan_v2
AUC:0.987303 TPR_2:0.884951 TPR_3:0.745268 TPR_4:0.579187 Deepfakes
AUC:0.991525 TPR_2:0.910007 TPR_3:0.782117 TPR_4:0.618038 FaceSwap
AUC:0.988435 TPR_2:0.919846 TPR_3:0.813825 TPR_4:0.666826 Face2Face
AUC:0.962679 TPR_2:0.495303 TPR_3:0.328882 TPR_4:0.228364 Test
epoch:004 batch:048000 loss:0.19188 avgloss:0.19681
AUC:0.986568 TPR_2:0.884900 TPR_3:0.753552 TPR_4:0.573996 validset
AUC:0.949610 TPR_2:0.252444 TPR_3:0.063556 TPR_4:0.008778 stylegan_celeba
AUC:0.865374 TPR_2:0.006558 TPR_3:0.000778 TPR_4:0.000111 stylegan_ffhq
AUC:0.875655 TPR_2:0.007998 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.986169 TPR_2:0.769498 TPR_3:0.375348 TPR_4:0.075161 stargan
AUC:0.955167 TPR_2:0.216611 TPR_3:0.045039 TPR_4:0.003344 pggan_v1
AUC:0.946281 TPR_2:0.181403 TPR_3:0.039421 TPR_4:0.005568 pggan_v2
AUC:0.992800 TPR_2:0.904069 TPR_3:0.759784 TPR_4:0.535200 Deepfakes
AUC:0.991289 TPR_2:0.895539 TPR_3:0.736625 TPR_4:0.496914 FaceSwap
AUC:0.993006 TPR_2:0.940414 TPR_3:0.839648 TPR_4:0.677524 Face2Face
AUC:0.950594 TPR_2:0.463837 TPR_3:0.317824 TPR_4:0.200289 Test
epoch:004 batch:051000 loss:0.12326 avgloss:0.19047
AUC:0.983597 TPR_2:0.857847 TPR_3:0.727533 TPR_4:0.591346 validset
AUC:0.978382 TPR_2:0.521667 TPR_3:0.115111 TPR_4:0.005889 stylegan_celeba
AUC:0.921549 TPR_2:0.030010 TPR_3:0.000667 TPR_4:0.000111 stylegan_ffhq
AUC:0.924323 TPR_2:0.038658 TPR_3:0.002222 TPR_4:0.000000 faceapp
AUC:0.964337 TPR_2:0.635696 TPR_3:0.295624 TPR_4:0.041665 stargan
AUC:0.976858 TPR_2:0.446488 TPR_3:0.086176 TPR_4:0.001672 pggan_v1
AUC:0.969597 TPR_2:0.381737 TPR_3:0.059911 TPR_4:0.004566 pggan_v2
AUC:0.977659 TPR_2:0.796962 TPR_3:0.599938 TPR_4:0.329926 Deepfakes
AUC:0.989388 TPR_2:0.910691 TPR_3:0.775368 TPR_4:0.506937 FaceSwap
AUC:0.992794 TPR_2:0.941140 TPR_3:0.831954 TPR_4:0.609635 Face2Face
AUC:0.966099 TPR_2:0.522561 TPR_3:0.307441 TPR_4:0.166711 Test
epoch:005 batch:054000 loss:0.05203 avgloss:0.18465
AUC:0.986702 TPR_2:0.894536 TPR_3:0.779401 TPR_4:0.634394 validset
AUC:0.972684 TPR_2:0.432111 TPR_3:0.099444 TPR_4:0.014667 stylegan_celeba
AUC:0.905961 TPR_2:0.015450 TPR_3:0.000889 TPR_4:0.000000 stylegan_ffhq
AUC:0.915363 TPR_2:0.036881 TPR_3:0.001555 TPR_4:0.000000 faceapp
AUC:0.979295 TPR_2:0.768722 TPR_3:0.474330 TPR_4:0.234016 stargan
AUC:0.978083 TPR_2:0.407804 TPR_3:0.081494 TPR_4:0.006132 pggan_v1
AUC:0.969009 TPR_2:0.336526 TPR_3:0.058018 TPR_4:0.007461 pggan_v2
AUC:0.988694 TPR_2:0.892686 TPR_3:0.744680 TPR_4:0.576320 Deepfakes
AUC:0.993177 TPR_2:0.936514 TPR_3:0.849040 TPR_4:0.737147 FaceSwap
AUC:0.991380 TPR_2:0.927176 TPR_3:0.810080 TPR_4:0.660004 Face2Face
AUC:0.965961 TPR_2:0.528208 TPR_3:0.346614 TPR_4:0.248416 Test
epoch:005 batch:057000 loss:0.00751 avgloss:0.17933
AUC:0.986796 TPR_2:0.855866 TPR_3:0.714645 TPR_4:0.536662 validset
AUC:0.969400 TPR_2:0.152778 TPR_3:0.000556 TPR_4:0.000000 stylegan_celeba
AUC:0.916280 TPR_2:0.001000 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.921620 TPR_2:0.002000 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.981377 TPR_2:0.742892 TPR_3:0.299639 TPR_4:0.072560 stargan
AUC:0.970613 TPR_2:0.093868 TPR_3:0.000111 TPR_4:0.000000 pggan_v1
AUC:0.963557 TPR_2:0.061024 TPR_3:0.000223 TPR_4:0.000000 pggan_v2
AUC:0.990951 TPR_2:0.897495 TPR_3:0.740959 TPR_4:0.549289 Deepfakes
AUC:0.976778 TPR_2:0.806302 TPR_3:0.649080 TPR_4:0.503752 FaceSwap
AUC:0.993219 TPR_2:0.935856 TPR_3:0.835380 TPR_4:0.692853 Face2Face
AUC:0.964866 TPR_2:0.410357 TPR_3:0.280661 TPR_4:0.202050 Test
epoch:005 batch:060000 loss:0.03215 avgloss:0.17458

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.13089 avgloss:0.08491
AUC:0.989989 TPR_2:0.885803 TPR_3:0.763222 TPR_4:0.589987 validset
AUC:0.975850 TPR_2:0.363556 TPR_3:0.021778 TPR_4:0.001222 stylegan_celeba
AUC:0.924121 TPR_2:0.011782 TPR_3:0.000222 TPR_4:0.000111 stylegan_ffhq
AUC:0.924749 TPR_2:0.021551 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.997573 TPR_2:0.955323 TPR_3:0.834527 TPR_4:0.649934 stargan
AUC:0.974887 TPR_2:0.311371 TPR_3:0.008473 TPR_4:0.000223 pggan_v1
AUC:0.969054 TPR_2:0.259020 TPR_3:0.011915 TPR_4:0.000668 pggan_v2
AUC:0.993308 TPR_2:0.918629 TPR_3:0.782152 TPR_4:0.609968 Deepfakes
AUC:0.991249 TPR_2:0.909809 TPR_3:0.792410 TPR_4:0.633568 FaceSwap
AUC:0.991259 TPR_2:0.916841 TPR_3:0.793866 TPR_4:0.617459 Face2Face
AUC:0.971339 TPR_2:0.518653 TPR_3:0.360643 TPR_4:0.279239 Test
epoch:000 batch:006000 loss:0.03388 avgloss:0.08263
AUC:0.984592 TPR_2:0.870992 TPR_3:0.757707 TPR_4:0.635277 validset
AUC:0.963343 TPR_2:0.130222 TPR_3:0.002222 TPR_4:0.000222 stylegan_celeba
AUC:0.893372 TPR_2:0.000778 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.893671 TPR_2:0.001333 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.989860 TPR_2:0.862821 TPR_3:0.676585 TPR_4:0.498562 stargan
AUC:0.960189 TPR_2:0.073690 TPR_3:0.000111 TPR_4:0.000000 pggan_v1
AUC:0.952824 TPR_2:0.063474 TPR_3:0.002116 TPR_4:0.000223 pggan_v2
AUC:0.990684 TPR_2:0.878480 TPR_3:0.716782 TPR_4:0.563510 Deepfakes
AUC:0.987756 TPR_2:0.873315 TPR_3:0.732864 TPR_4:0.597992 FaceSwap
AUC:0.992033 TPR_2:0.929266 TPR_3:0.783298 TPR_4:0.623352 Face2Face
AUC:0.958192 TPR_2:0.423709 TPR_3:0.323775 TPR_4:0.253762 Test
epoch:000 batch:009000 loss:0.05570 avgloss:0.08130
AUC:0.984500 TPR_2:0.887128 TPR_3:0.753397 TPR_4:0.616142 validset
AUC:0.979113 TPR_2:0.409444 TPR_3:0.030889 TPR_4:0.002778 stylegan_celeba
AUC:0.924881 TPR_2:0.007558 TPR_3:0.000222 TPR_4:0.000000 stylegan_ffhq
AUC:0.930847 TPR_2:0.014441 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.991665 TPR_2:0.880938 TPR_3:0.450828 TPR_4:0.132752 stargan
AUC:0.977703 TPR_2:0.325307 TPR_3:0.014047 TPR_4:0.000780 pggan_v1
AUC:0.971392 TPR_2:0.222494 TPR_3:0.011359 TPR_4:0.000668 pggan_v2
AUC:0.993164 TPR_2:0.930291 TPR_3:0.801050 TPR_4:0.658911 Deepfakes
AUC:0.990368 TPR_2:0.908082 TPR_3:0.794659 TPR_4:0.676360 FaceSwap
AUC:0.990935 TPR_2:0.934376 TPR_3:0.846150 TPR_4:0.742597 Face2Face
AUC:0.972230 TPR_2:0.514770 TPR_3:0.327689 TPR_4:0.246094 Test
epoch:001 batch:012000 loss:0.03032 avgloss:0.08101
AUC:0.986817 TPR_2:0.903817 TPR_3:0.790814 TPR_4:0.504148 validset
AUC:0.977046 TPR_2:0.432444 TPR_3:0.056444 TPR_4:0.008222 stylegan_celeba
AUC:0.899640 TPR_2:0.007447 TPR_3:0.000222 TPR_4:0.000000 stylegan_ffhq
AUC:0.910273 TPR_2:0.018663 TPR_3:0.000889 TPR_4:0.000000 faceapp
AUC:0.995628 TPR_2:0.937297 TPR_3:0.773377 TPR_4:0.547255 stargan
AUC:0.972841 TPR_2:0.324303 TPR_3:0.019175 TPR_4:0.001003 pggan_v1
