
Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
AUC:0.990894 TPR_2:0.943056 TPR_3:0.868766 TPR_4:0.745732 Face2Face
AUC:0.981190 TPR_2:0.677430 TPR_3:0.459679 TPR_4:0.324862 Test
epoch:005 batch:057000 loss:0.10160 avgloss:0.19013
AUC:0.990600 TPR_2:0.913841 TPR_3:0.827527 TPR_4:0.681272 validset
AUC:0.986515 TPR_2:0.698889 TPR_3:0.276111 TPR_4:0.045333 stylegan_celeba
AUC:0.920097 TPR_2:0.042459 TPR_3:0.001556 TPR_4:0.000000 stylegan_ffhq
AUC:0.917284 TPR_2:0.046434 TPR_3:0.001111 TPR_4:0.000000 faceapp
AUC:0.997921 TPR_2:0.964861 TPR_3:0.874093 TPR_4:0.706841 stargan
AUC:0.984312 TPR_2:0.619064 TPR_3:0.223969 TPR_4:0.031773 pggan_v1
AUC:0.980048 TPR_2:0.547884 TPR_3:0.134076 TPR_4:0.012138 pggan_v2
AUC:0.995888 TPR_2:0.952204 TPR_3:0.871862 TPR_4:0.729429 Deepfakes
AUC:0.992882 TPR_2:0.925213 TPR_3:0.829587 TPR_4:0.676810 FaceSwap
AUC:0.992270 TPR_2:0.913996 TPR_3:0.821474 TPR_4:0.670165 Face2Face
AUC:0.974135 TPR_2:0.634556 TPR_3:0.448204 TPR_4:0.319165 Test
epoch:005 batch:060000 loss:0.02690 avgloss:0.18541
AUC:0.992674 TPR_2:0.926433 TPR_3:0.838789 TPR_4:0.709562 validset
AUC:0.980493 TPR_2:0.366667 TPR_3:0.025889 TPR_4:0.000333 stylegan_celeba
AUC:0.922249 TPR_2:0.004557 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.918465 TPR_2:0.008443 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.998842 TPR_2:0.980742 TPR_3:0.851047 TPR_4:0.528773 stargan
AUC:0.978431 TPR_2:0.303567 TPR_3:0.008807 TPR_4:0.000000 pggan_v1
AUC:0.975505 TPR_2:0.231849 TPR_3:0.007016 TPR_4:0.000111 pggan_v2
AUC:0.997667 TPR_2:0.974558 TPR_3:0.919908 TPR_4:0.781064 Deepfakes
AUC:0.995129 TPR_2:0.953663 TPR_3:0.855500 TPR_4:0.663673 FaceSwap
AUC:0.995216 TPR_2:0.949994 TPR_3:0.875327 TPR_4:0.727385 Face2Face
AUC:0.973555 TPR_2:0.530449 TPR_3:0.393722 TPR_4:0.300149 Test
epoch:006 batch:063000 loss:0.11163 avgloss:0.18093
AUC:0.992947 TPR_2:0.929132 TPR_3:0.835915 TPR_4:0.725057 validset
AUC:0.989051 TPR_2:0.680778 TPR_3:0.202222 TPR_4:0.030778 stylegan_celeba
AUC:0.938428 TPR_2:0.035456 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.936672 TPR_2:0.046434 TPR_3:0.001111 TPR_4:0.000000 faceapp
AUC:0.996199 TPR_2:0.932597 TPR_3:0.637749 TPR_4:0.214758 stargan
AUC:0.988225 TPR_2:0.626310 TPR_3:0.158863 TPR_4:0.011483 pggan_v1
AUC:0.985437 TPR_2:0.553341 TPR_3:0.106570 TPR_4:0.009465 pggan_v2
AUC:0.996302 TPR_2:0.956233 TPR_3:0.875686 TPR_4:0.707899 Deepfakes
AUC:0.995374 TPR_2:0.937323 TPR_3:0.841716 TPR_4:0.677314 FaceSwap
AUC:0.995694 TPR_2:0.952491 TPR_3:0.881394 TPR_4:0.753614 Face2Face
AUC:0.980154 TPR_2:0.635663 TPR_3:0.411714 TPR_4:0.267257 Test
epoch:006 batch:066000 loss:0.15185 avgloss:0.17675
AUC:0.992659 TPR_2:0.942035 TPR_3:0.858856 TPR_4:0.734533 validset
AUC:0.989056 TPR_2:0.765000 TPR_3:0.331000 TPR_4:0.077667 stylegan_celeba
AUC:0.908959 TPR_2:0.051239 TPR_3:0.001334 TPR_4:0.000000 stylegan_ffhq
AUC:0.905712 TPR_2:0.053099 TPR_3:0.002666 TPR_4:0.000000 faceapp
AUC:0.995901 TPR_2:0.929266 TPR_3:0.670515 TPR_4:0.324237 stargan
AUC:0.986560 TPR_2:0.704125 TPR_3:0.289521 TPR_4:0.068562 pggan_v1
AUC:0.983008 TPR_2:0.627728 TPR_3:0.179844 TPR_4:0.032071 pggan_v2
AUC:0.994775 TPR_2:0.946101 TPR_3:0.858317 TPR_4:0.733768 Deepfakes
AUC:0.995414 TPR_2:0.956074 TPR_3:0.845513 TPR_4:0.701661 FaceSwap
AUC:0.994627 TPR_2:0.958007 TPR_3:0.886039 TPR_4:0.759072 Face2Face
AUC:0.972668 TPR_2:0.665627 TPR_3:0.451639 TPR_4:0.299671 Test
epoch:006 batch:069000 loss:0.11564 avgloss:0.17284
AUC:0.990613 TPR_2:0.920608 TPR_3:0.842784 TPR_4:0.671660 validset
AUC:0.991004 TPR_2:0.748333 TPR_3:0.255889 TPR_4:0.025667 stylegan_celeba
AUC:0.940167 TPR_2:0.052128 TPR_3:0.000667 TPR_4:0.000000 stylegan_ffhq
AUC:0.935455 TPR_2:0.062208 TPR_3:0.002444 TPR_4:0.000000 faceapp
AUC:0.995550 TPR_2:0.930863 TPR_3:0.720120 TPR_4:0.359604 stargan
AUC:0.989270 TPR_2:0.664660 TPR_3:0.192308 TPR_4:0.009810 pggan_v1
AUC:0.986279 TPR_2:0.575947 TPR_3:0.107461 TPR_4:0.003675 pggan_v2
AUC:0.995638 TPR_2:0.954983 TPR_3:0.866009 TPR_4:0.714105 Deepfakes
AUC:0.988888 TPR_2:0.894135 TPR_3:0.742995 TPR_4:0.510140 FaceSwap
AUC:0.995841 TPR_2:0.974700 TPR_3:0.931531 TPR_4:0.818310 Face2Face
AUC:0.979788 TPR_2:0.650884 TPR_3:0.424380 TPR_4:0.271257 Test
epoch:007 batch:072000 loss:0.12034 avgloss:0.16915
AUC:0.989333 TPR_2:0.931564 TPR_3:0.848526 TPR_4:0.701111 validset
AUC:0.983979 TPR_2:0.629444 TPR_3:0.192889 TPR_4:0.006889 stylegan_celeba
AUC:0.908863 TPR_2:0.023341 TPR_3:0.000667 TPR_4:0.000000 stylegan_ffhq
AUC:0.892530 TPR_2:0.018218 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.996507 TPR_2:0.936430 TPR_3:0.817004 TPR_4:0.599096 stargan
AUC:0.983733 TPR_2:0.593868 TPR_3:0.156856 TPR_4:0.004348 pggan_v1
AUC:0.979325 TPR_2:0.493764 TPR_3:0.086526 TPR_4:0.001225 pggan_v2
AUC:0.995744 TPR_2:0.956630 TPR_3:0.885568 TPR_4:0.704678 Deepfakes
AUC:0.995623 TPR_2:0.961149 TPR_3:0.886883 TPR_4:0.725540 FaceSwap
AUC:0.993866 TPR_2:0.959879 TPR_3:0.877896 TPR_4:0.689050 Face2Face
