
Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.56774 avgloss:inf

Model:xception BatchSize:16 lr:0.000200
AUC:0.993162 TPR_2:0.949907 TPR_3:0.885429 TPR_4:0.755240 Face2Face
AUC:0.978779 TPR_2:0.582798 TPR_3:0.388541 TPR_4:0.259468 Test
epoch:004 batch:045000 loss:0.06304 avgloss:0.13763
AUC:0.990901 TPR_2:0.896696 TPR_3:0.789955 TPR_4:0.625379 validset
AUC:0.982925 TPR_2:0.466222 TPR_3:0.166667 TPR_4:0.048444 stylegan_celeba
AUC:0.933514 TPR_2:0.013004 TPR_3:0.001000 TPR_4:0.000111 stylegan_ffhq
AUC:0.939822 TPR_2:0.030216 TPR_3:0.001111 TPR_4:0.000444 faceapp
AUC:0.992049 TPR_2:0.910327 TPR_3:0.420709 TPR_4:0.039474 stargan
AUC:0.982572 TPR_2:0.429989 TPR_3:0.153958 TPR_4:0.036566 pggan_v1
AUC:0.979357 TPR_2:0.353118 TPR_3:0.100223 TPR_4:0.025390 pggan_v2
AUC:0.994049 TPR_2:0.948542 TPR_3:0.843684 TPR_4:0.659985 Deepfakes
AUC:0.989096 TPR_2:0.882421 TPR_3:0.662594 TPR_4:0.410934 FaceSwap
AUC:0.994259 TPR_2:0.961171 TPR_3:0.888826 TPR_4:0.756126 Face2Face
AUC:0.976405 TPR_2:0.555001 TPR_3:0.359863 TPR_4:0.219719 Test
epoch:004 batch:048000 loss:0.09066 avgloss:0.13361
AUC:0.988562 TPR_2:0.899904 TPR_3:0.795066 TPR_4:0.683029 validset
AUC:0.977587 TPR_2:0.351111 TPR_3:0.077667 TPR_4:0.012778 stylegan_celeba
AUC:0.926502 TPR_2:0.004224 TPR_3:0.000445 TPR_4:0.000000 stylegan_ffhq
AUC:0.924826 TPR_2:0.010886 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.997153 TPR_2:0.964313 TPR_3:0.717428 TPR_4:0.165336 stargan
AUC:0.978224 TPR_2:0.301226 TPR_3:0.058640 TPR_4:0.007135 pggan_v1
AUC:0.975487 TPR_2:0.233185 TPR_3:0.038864 TPR_4:0.006236 pggan_v2
AUC:0.993526 TPR_2:0.934865 TPR_3:0.820463 TPR_4:0.628660 Deepfakes
AUC:0.992681 TPR_2:0.935290 TPR_3:0.839557 TPR_4:0.702291 FaceSwap
AUC:0.993208 TPR_2:0.952665 TPR_3:0.876183 TPR_4:0.741131 Face2Face
AUC:0.973244 TPR_2:0.520863 TPR_3:0.381027 TPR_4:0.251507 Test
